Time,Total subscriptions at end of period,Paid subscriptions at end of period,Free Trails,Revenue,Cost of revenues,Marketing,Contribution profit,Contribution Margin,Cost per Customer (excluding marketing),Revenue per Customer,Earnings per Customer,Segment
"March 31,2012",23410,22022,1388,506665,360776,79381,66508,0.131,15.4111918,21.64310124,6.23190944,Streaming
"June 30,2012",23938,22686,1252,532705,378574,70959,83172,0.156,15.81477149,22.25352995,6.438758459,Streaming
"September 30,2012",25101,23801,1300,556027,399124,65955,90948,0.164,15.90072109,22.15158759,6.250866499,Streaming
"December 31,2012",27146,25471,1675,589471,420390,59777,109304,0.185,15.48625949,21.71483828,6.228578796,Streaming
"March 31,2013",29174,27913,1261,638649,440334,66965,131350,0.206,15.09337081,21.89103311,6.797662302,Streaming
"June 30,2013",29807,28624,1183,671089,452598,67177,151314,0.225,15.18428557,22.51447647,7.330190895,Streaming
"September 30,2013",31092,29925,1167,701083,473965,60637,166481,0.237,15.24395343,22.54866204,7.304708607,Streaming
"December 31,2013",33420,31712,1708,740554,496479,70453,173622,0.234,14.85574506,22.15900658,7.30326152,Streaming
"March 31,2014",35674,34377,1297,798617,517094,80258,201265,0.252,14.49498234,22.386528,7.891545664,Streaming
"June 30,2014",36244,35085,1159,838225,546223,64727,227275,0.271,15.07071515,23.12727624,8.056561086,Streaming
"September 30,2014",37219,36265,954,877150,565251,61045,250854,0.286,15.18716247,23.56726403,8.380101561,Streaming
"December 31,2014",39114,37698,1416,917442,573193,87423,256826,0.28,14.65442041,23.45559135,8.801170936,Streaming
"March 31,2015",41397,40315,1082,984532,582529,89551,312452,0.317,14.07176849,23.78268957,9.710921081,Streaming
"June 30,2015",42300,41057,1243,1025913,612691,73427,339795,0.331,14.4844208,24.25326241,9.768841608,Streaming
"September 30,2015",43181,42068,1113,1063961,644914,74835,344212,0.324,14.93513351,24.6395637,9.704430189,Streaming
"December 31,2015",44738,43401,1337,1105933,647059,79833,379041,0.343,14.46329742,24.72021548,10.25691806,Streaming
"March 31,2016",45714,44461,1253,1161241,687756,88574,384911,0.331,15.04475653,25.40230564,10.35754911,Streaming
"June 30,2016",46004,44879,1125,1208271,729399,93751,385121,0.319,15.85512129,26.264477,10.40935571,Streaming
"September 30,2016",46479,45461,1018,1304333,746220,116687,441426,0.338,16.05499258,28.06284559,12.00785301,Streaming
"December 31,2016",47905,46379,1526,1403462,788598,113916,500948,0.357,16.46170546,29.29677487,12.83506941,Streaming
"March 31,2017",49375,47896,1479,1470042,783954,126253,559835,0.381,15.87754937,29.77300253,13.89545316,Streaming
"June 30,2017",50323,48725,1598,1505499,868530,124903,512066,0.34,17.25910617,29.916718,12.65761183,Streaming
"September 30,2017",51345,49918,1427,1547210,902275,141533,503402,0.325,17.5727919,30.133606,12.5608141,Streaming
"December 31,2017",52810,50870,1940,1630274,916100,211057,503117,0.309,17.34709335,30.87055482,13.52346147,Streaming
"March 31,2018",55087,53469,1618,1820019,936480,250719,632820,0.348,17.00001815,33.03899287,16.03897471,Streaming
"June 30,2018",55959,54539,1420,1893222,969995,251298,671929,0.355,17.33403027,33.8323058,16.49827552,Streaming
"September 30,2018",56957,55450,1507,1937314,1038473,210595,688246,0.355,18.23257896,34.01362431,15.78104535,Streaming
"December 31,2018",58486,56421,2065,1996092,1093446,312739,589907,0.296,18.69585884,34.12939849,15.43353965,Streaming
